model,n,overall,T1,T2,T2_recall@5,T2_mrr,T3,T3_macro_f1
qwen/qwen-plus,500,0.4627,0.2868,0.66,0.66,0.5308,0.42,0.3447
deepseek/deepseek-chat,500,0.4256,0.3341,0.505,0.505,0.4188,0.45,0.451
zhipu/glm-4-flash,500,0.198,0.285,0.0,0.0,0.0,0.42,0.3339
kimi/kimi-k2.6,500,0.6783,0.6607,0.815,0.815,0.7107,0.44,0.3649
random-baseline,500,0.066,0.035,0.0,0.0,0.0,0.26,0.2532
always-first-baseline,500,0.0826,0.0415,0.0,0.0,0.0,0.33,0.1654
